,model,method,low_vram,mem_alloc,mem_seg,time,error_msg
0,multipleview\test_hand_2,base,False,9239.653888,10007.609344,110.9984,
1,multipleview\test_hand_2,base,False,9239.653888,10007.609344,108.0003,
2,multipleview\test_hand_2,base,False,9239.653888,10007.609344,100.2124,
3,multipleview\test_hand_2,base,False,9239.653888,10007.609344,102.9998,
4,multipleview\test_hand_2,base,False,9239.653888,10007.609344,99.9995,
5,dnerf\bouncingballs,base,False,1491.897856,1818.230784,15.9998,
6,dnerf\bouncingballs,base,False,1491.897856,1818.230784,18.0003,
7,dnerf\bouncingballs,base,False,1491.897856,1818.230784,18.0003,
8,dnerf\bouncingballs,base,False,1491.897856,1818.230784,19.0,
9,dnerf\bouncingballs,base,False,1491.897856,1818.230784,16.9989,
10,dnerf\lego,base,False,5152.583168,5580.521472,49.0,
11,dnerf\lego,base,False,5152.583168,5580.521472,47.6367,
12,dnerf\lego,base,False,5152.583168,5580.521472,48.5163,
13,dnerf\lego,base,False,5152.583168,5580.521472,47.9978,
14,dnerf\lego,base,False,5152.583168,5580.521472,49.9976,
15,multipleview\test_hand_2,base,True,2346.925056,2600.46848,309.8386,
16,multipleview\test_hand_2,base,True,2346.925056,2600.46848,323.0016,
17,multipleview\test_hand_2,base,True,2346.925056,2600.46848,323.6323,
18,multipleview\test_hand_2,base,True,2346.925056,2600.46848,361.9998,
19,multipleview\test_hand_2,base,True,2346.925056,2600.46848,316.574,
20,dnerf\bouncingballs,base,True,397.610496,476.053504,60.9999,
21,dnerf\bouncingballs,base,True,397.610496,476.053504,61.0002,
22,dnerf\bouncingballs,base,True,397.610496,476.053504,59.9994,
23,dnerf\bouncingballs,base,True,397.610496,476.053504,59.9998,
24,dnerf\bouncingballs,base,True,397.610496,476.053504,60.0006,
25,dnerf\lego,base,True,1297.158656,1514.143744,240.9997,
26,dnerf\lego,base,True,1297.158656,1514.143744,284.7217,
27,dnerf\lego,base,True,1297.158656,1514.143744,244.9982,
28,dnerf\lego,base,True,1297.158656,1514.143744,257.2729,
29,dnerf\lego,base,True,1297.158656,1514.143744,260.9993,
30,multipleview\test_hand_2,base segmented,False,8244.007424,8545.8944,58.9996,
31,multipleview\test_hand_2,base segmented,False,8244.007424,8545.8944,56.6356,
32,multipleview\test_hand_2,base segmented,False,8244.007424,8545.8944,59.002,
33,multipleview\test_hand_2,base segmented,False,8244.007424,8545.8944,57.0001,
34,multipleview\test_hand_2,base segmented,False,8244.007424,8545.8944,57.0007,
35,dnerf\bouncingballs,base segmented,False,1330.380288,1577.058304,14.5604,
36,dnerf\bouncingballs,base segmented,False,1330.380288,1577.058304,15.9998,
37,dnerf\bouncingballs,base segmented,False,1330.380288,1577.058304,14.9998,
38,dnerf\bouncingballs,base segmented,False,1330.380288,1577.058304,14.0002,
39,dnerf\bouncingballs,base segmented,False,1330.380288,1577.058304,13.9995,
40,dnerf\lego,base segmented,False,4606.730752,4687.13472,39.0001,
41,dnerf\lego,base segmented,False,4606.730752,4687.13472,38.0008,
42,dnerf\lego,base segmented,False,4606.730752,4687.13472,39.0002,
43,dnerf\lego,base segmented,False,4606.730752,4687.13472,38.0008,
44,dnerf\lego,base segmented,False,4606.730752,4687.13472,43.0017,
45,multipleview\test_hand_2,base segmented,True,219.569152,287.309824,455.8724,
46,multipleview\test_hand_2,base segmented,True,219.569152,287.309824,460.8041,
47,multipleview\test_hand_2,base segmented,True,219.569152,287.309824,459.5089,
48,multipleview\test_hand_2,base segmented,True,219.569152,287.309824,449.9172,
49,multipleview\test_hand_2,base segmented,True,219.569152,287.309824,457.0253,
50,dnerf\bouncingballs,base segmented,True,78.904832,102.760448,76.9999,
51,dnerf\bouncingballs,base segmented,True,78.904832,102.760448,78.9998,
52,dnerf\bouncingballs,base segmented,True,78.904832,102.760448,89.9994,
53,dnerf\bouncingballs,base segmented,True,78.904832,102.760448,78.9993,
54,dnerf\bouncingballs,base segmented,True,78.904832,102.760448,86.0018,
55,dnerf\lego,base segmented,True,112.321536,243.269632,361.1893,
56,dnerf\lego,base segmented,True,112.321536,243.269632,354.1595,
57,dnerf\lego,base segmented,True,112.321536,243.269632,359.9993,
58,dnerf\lego,base segmented,True,112.321536,243.269632,365.2493,
59,dnerf\lego,base segmented,True,112.321536,243.269632,371.9986,
60,multipleview\test_hand_2,abs,False,9232.699904,10005.512192,98.0759,
61,multipleview\test_hand_2,abs,False,9232.699904,10005.512192,97.1273,
62,multipleview\test_hand_2,abs,False,9232.699904,10005.512192,96.9992,
63,multipleview\test_hand_2,abs,False,9232.699904,10005.512192,98.0,
64,multipleview\test_hand_2,abs,False,9232.699904,10005.512192,95.9993,
65,dnerf\bouncingballs,abs,False,1487.077888,1818.230784,19.0013,
66,dnerf\bouncingballs,abs,False,1487.077888,1818.230784,18.0003,
67,dnerf\bouncingballs,abs,False,1487.077888,1818.230784,18.0001,
68,dnerf\bouncingballs,abs,False,1487.077888,1818.230784,18.0007,
69,dnerf\bouncingballs,abs,False,1487.077888,1818.230784,18.0,
70,dnerf\lego,abs,False,5145.867776,5578.42432,48.0001,
71,dnerf\lego,abs,False,5145.867776,5578.42432,48.9998,
72,dnerf\lego,abs,False,5145.867776,5578.42432,47.0,
73,dnerf\lego,abs,False,5145.867776,5578.42432,46.9986,
74,dnerf\lego,abs,False,5145.867776,5578.42432,45.8852,
75,multipleview\test_hand_2,abs,True,2339.971072,2598.371328,312.0425,
76,multipleview\test_hand_2,abs,True,2339.971072,2598.371328,312.9997,
77,multipleview\test_hand_2,abs,True,2339.971072,2598.371328,300.9992,
78,multipleview\test_hand_2,abs,True,2339.971072,2598.371328,327.0001,
79,multipleview\test_hand_2,abs,True,2339.971072,2598.371328,316.0,
80,dnerf\bouncingballs,abs,True,392.790528,476.053504,60.1924,
81,dnerf\bouncingballs,abs,True,392.790528,476.053504,60.002,
82,dnerf\bouncingballs,abs,True,392.790528,476.053504,60.0005,
83,dnerf\bouncingballs,abs,True,392.790528,476.053504,58.9993,
84,dnerf\bouncingballs,abs,True,392.790528,476.053504,59.999,
85,dnerf\lego,abs,True,1290.443264,1512.046592,221.1575,
86,dnerf\lego,abs,True,1290.443264,1512.046592,316.8747,
87,dnerf\lego,abs,True,1290.443264,1512.046592,236.9993,
88,dnerf\lego,abs,True,1290.443264,1512.046592,229.0,
89,dnerf\lego,abs,True,1290.443264,1512.046592,224.343,
90,multipleview\test_hand_2,abs segmented,False,8902.71488,9204.400128,99.3231,
91,multipleview\test_hand_2,abs segmented,False,8902.71488,9204.400128,100.0003,
92,multipleview\test_hand_2,abs segmented,False,8902.71488,9204.400128,100.5512,
93,multipleview\test_hand_2,abs segmented,False,8902.71488,9204.400128,102.0104,
94,multipleview\test_hand_2,abs segmented,False,8902.71488,9204.400128,100.0009,
95,dnerf\bouncingballs,abs segmented,False,1434.228224,1686.110208,21.0018,
96,dnerf\bouncingballs,abs segmented,False,1434.228224,1686.110208,19.9999,
97,dnerf\bouncingballs,abs segmented,False,1434.228224,1686.110208,20.0001,
98,dnerf\bouncingballs,abs segmented,False,1434.228224,1686.110208,21.0003,
99,dnerf\bouncingballs,abs segmented,False,1434.228224,1686.110208,20.0004,
100,dnerf\lego,abs segmented,False,4964.722688,5047.844864,57.0007,
101,dnerf\lego,abs segmented,False,4964.722688,5047.844864,55.0003,
102,dnerf\lego,abs segmented,False,4964.722688,5047.844864,57.0002,
103,dnerf\lego,abs segmented,False,4964.722688,5047.844864,54.0001,
104,dnerf\lego,abs segmented,False,4964.722688,5047.844864,55.2753,
105,multipleview\test_hand_2,abs segmented,True,219.569152,287.309824,600.4683,
106,multipleview\test_hand_2,abs segmented,True,219.569152,287.309824,592.0015,
107,multipleview\test_hand_2,abs segmented,True,219.569152,287.309824,559.3763,
108,multipleview\test_hand_2,abs segmented,True,219.569152,287.309824,594.442,
109,multipleview\test_hand_2,abs segmented,True,219.569152,287.309824,587.9995,
110,dnerf\bouncingballs,abs segmented,True,78.889472,102.760448,94.9988,
111,dnerf\bouncingballs,abs segmented,True,78.889472,102.760448,105.9999,
112,dnerf\bouncingballs,abs segmented,True,78.889472,102.760448,104.9992,
113,dnerf\bouncingballs,abs segmented,True,78.889472,102.760448,109.8408,
114,dnerf\bouncingballs,abs segmented,True,78.889472,102.760448,134.0002,
115,dnerf\lego,abs segmented,True,112.321536,243.269632,655.6528,
116,dnerf\lego,abs segmented,True,112.321536,243.269632,661.8871,
117,dnerf\lego,abs segmented,True,112.321536,243.269632,681.3447,
118,dnerf\lego,abs segmented,True,112.321536,243.269632,651.1834,
119,dnerf\lego,abs segmented,True,112.321536,243.269632,425.6583,
